Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
mkunga;Hebamme;;Substantiv;1/2;0;mkunga;1;wakunga;2;Hebammen;0;;;Allgemein;
mgonjwa;Patient, Kranker;;Substantiv;1/2;0;mgonjwa;1;wagonjwa;2;Patienten, Kranke;0;;;Allgemein;
mnyama;Tier;;Substantiv;1/2;0;mnyama;1;wanyama;2;Tiere;0;;;Allgemein;
mfanyakazi;Arbeiter;;Substantiv;1/2;0;mfanyakazi;1;wafanyakazi;2;Arbeiter (Pl.);0;;;Allgemein;
mkristo;Christ;;Substantiv;1/2;0;mkristo;1;wakristo;2;Christen;0;;;Allgemein;
mwanafunzi;Student, Schüler;;Substantiv;1/2;0;mwanafunzi;1;wanafunzi;2;Studenten, Schüler (Pl.);0;;;Allgemein;
mke;Ehefrau;;Substantiv;1/2;0;mke;1;wake;2;Ehefrauen;0;;;Allgemein;
mwislamu;Moslem;;Substantiv;1/2;0;mwislamu;1;waislamu;2;Moslems;0;;;Allgemein;
mkulima;Bauer, Landwirt;;Substantiv;1/2;0;mkulima;1;wakulima;2;Bauern, Landwirte;0;;;Allgemein;
mchungaji;Pastor, Hirte;;Substantiv;1/2;0;mchungaji;1;wachungaji;2;Pastoren, Hirten;0;;;Allgemein;
udaktari;Arbeit des Arztes;;Substantiv;11;0;udaktari;11;;;;0;;;Allgemein;
wali;(gekochter) Reis;;Substantiv;11;0;wali;11;;;;0;;;Allgemein;
uji;dünner Brei aus Mehl;;Substantiv;11;0;uji;11;;;;0;;;Allgemein;
ualimu;Arbeit des Lehrers;;Substantiv;11;0;ualimu;11;;;;0;;;Allgemein;
udongo;Boden;;Substantiv;11;0;udongo;11;;;;;;;Allgemein;
usingizi;Schlaf;;Substantiv;11;0;usingizi;11;;;;0;;;Allgemein;
usiku;Nacht;;Substantiv;11/10;0;usiku;11;siku;10;Nächte (Pl.);0;;;Allgemein;
ufunguo;Schlüssel;;Substantiv;11/10;0;ufunguo;11;funguo;10;Schlüssel (Pl.);0;;;Allgemein;
ugonjwa;Krankheit;;Substantiv;11/6;0;ugonjwa;11;magonjwa;6;Krankheiten;;;;Allgemein;
muda;Zeitdauer;;Substantiv;3;0;muda;3;;;;;;;Allgemein;
mchana;Mittag, Tag;;Substantiv;3;0;mchana;3;;;;0;;;Allgemein;
msamiati;Vokabular, Wortschatz;;Substantiv;3;0;msamiati;3;;;;0;;;Allgemein;
mzigo;Last, Gepäck;;Substantiv;3/4;0;mzigo;3;mizigo;4;Lasten, Gepäck (Pl.);0;;;Allgemein;
mti;Baum;;Substantiv;3/4;0;mti;3;miti;4;Bäume;0;;;Allgemein;
mguu;Bein;;Substantiv;3/4;0;mguu;3;miguu;4;Beine;0;;;Allgemein;
mlango;Tür;;Substantiv;3/4;0;mlango;3;milango;4;Türen;0;;;Allgemein;
mfano;Beispiel;;Substantiv;3/4;0;mfano;3;mifano;4;Beispiele;0;;;Allgemein;
